cluster,cluster_label,type,year,title,abstract,city,country,theme_primary,case_study_flag,id
62,Industrial Fermentation,paper,2004,Insight into the Mechanism of the B <sub>12</sub> -Independent Glycerol Dehydratase from <i>Clostridium butyricum</i> :  Preliminary Biochemical and Structural Characterization,"The molecular characterization of a B12-independent glycerol dehydratase from Clostridium butyricum has recently been reported [Raynaud, C., et al. (2003) Proc. Natl. Acad. Sci. U.S.A. 100, 5010-5015]. In this work, we have further characterized this system by biochemical and crystallographic methods. Both the glycerol dehydratase (GD) and the GD-activating enzyme (GD-AE) could be purified to homogeneity under aerobic conditions. In this form, both the GD and GD-AE were inactive. A reconstitution procedure, similar to what has been reported for pyruvate formate lyase activating enzyme (PFL-AE), was employed to reconstitute the activity of the GD-AE. Subsequently, the reconstituted GD-AE could be used to reactivate the GD under strictly anaerobic conditions. We also report here the crystal structure of the inactive GD in the native (2.5 A resolution, Rcryst = 17%, Rfree = 20%), glycerol-bound (1.8 A resolution, Rcryst = 21%, Rfree = 24%), and 1,2-propanediol-bound (2.4 A resolution, Rcryst = 20%, Rfree = 24%) forms. The overall fold of the GD monomer was similar to what has been observed for pyruvate formate lyase (PFL) and anaerobic ribonucleotide reductase (ARNR), consisting of a 10-stranded beta/alpha barrel motif. Clear density was observed for both substrates, and a mechanism for the dehydration reaction is presented. This mechanism clearly supports a concerted pathway for migration of the OH group through a cyclic transition state that is stabilized by partial protonation of the migrating OH group. Finally, despite poor alignment (rmsd approximately 6.8 A) of the 10 core strands that comprise the barrel structure of the GD and PFL, the C-terminal domains of both proteins align well (rmsd approximately 0.7 A) and have structural properties consistent with this being the docking site for the activating enzyme. A single point mutation within this domain, at a strictly conserved arginine residue (R782K) in the GD, resulted in formation of a tight protein-protein complex between the GD and the GD-AE in vivo, thereby supporting this hypothesis.",Athens,US,,False,https://openalex.org/W2085204013
62,Industrial Fermentation,paper,2010,Modular electron transfer circuits for synthetic biology,"Electron transfer is central to a wide range of essential metabolic pathways, from photosynthesis to fermentation. The evolutionary diversity and conservation of proteins that transfer electrons makes these pathways a valuable platform for engineered metabolic circuits in synthetic biology. Rational engineering of electron transfer pathways containing hydrogenases has the potential to lead to industrial scale production of hydrogen as an alternative source of clean fuel and experimental assays for understanding the complex interactions of multiple electron transfer proteins in vivo. We designed and implemented a synthetic hydrogen metabolism circuit in Escherichia coli that creates an electron transfer pathway both orthogonal to and integrated within existing metabolism. The design of such modular electron transfer circuits allows for facile characterization of in vivo system parameters with applications toward further engineering for alternative energy production.",Cambridge,US,,False,https://openalex.org/W1597595455
62,Industrial Fermentation,paper,2011,A systems biology approach to investigate the effect of pH-induced gene regulation on solvent production by Clostridium acetobutylicum in continuous culture,"Incorporating gene regulation into the model of solvent production by C. acetobutylicum enables an accurate representation of the pH-induced switch to solvent production to be obtained and theoretical investigations of possible synthetic-biology approaches to be pursued. Steady-state analyses suggest that, to increase butanol yield, alterations in the expression of single solvent-associated genes are insufficient; a more complex approach targeting two or more genes is required.",Prague,CZ,,False,https://openalex.org/W2120115025
62,Industrial Fermentation,paper,2012,Pathway engineering and synthetic biology using acetogens,"Acetogenic anaerobic bacteria are defined as organisms employing the Wood-Ljungdahl pathway to synthesize acetyl-CoA from CO(2) or CO. Their autotrophic mode of metabolism offers the biotechnological chance to combine use of abundantly available substrates with reduction of greenhouse gases. Several companies have already established pilot and demonstration plants for converting waste gases into ethanol, an important biofuel and a natural product of many acetogens. Recombinant DNA approaches now opened the door to construct acetogens, synthesizing important industrial bulk chemicals and biofuels such as acetone and butanol. Thus, novel microbial production platforms are available that no longer compete with nutritional feedstocks.",Ulm,DE,,True,https://openalex.org/W2011704289
62,Industrial Fermentation,paper,2012,Commercial Biomass Syngas Fermentation,"The use of gas fermentation for the production of low carbon biofuels such as ethanol or butanol from lignocellulosic biomass is an area currently undergoing intensive research and development, with the first commercial units expected to commence operation in the near future. In this process, biomass is first converted into carbon monoxide (CO) and hydrogen (H2)-rich synthesis gas (syngas) via gasification, and subsequently fermented to hydrocarbons by acetogenic bacteria. Several studies have been performed over the last few years to optimise both biomass gasification and syngas fermentation with significant progress being reported in both areas. While challenges associated with the scale-up and operation of this novel process remain, this strategy offers numerous advantages compared with established fermentation and purely thermochemical approaches to biofuel production in terms of feedstock flexibility and production cost. In recent times, metabolic engineering and synthetic biology techniques have been applied to gas fermenting organisms, paving the way for gases to be used as the feedstock for the commercial production of increasingly energy dense fuels and more valuable chemicals.",Auckland,NZ,,True,https://openalex.org/W1973808917
62,Industrial Fermentation,paper,2012,Novel CAD-like enzymes from Escherichia coli K-12 as additional tools in chemical production,"In analyzing the reductive power of Escherichia coli K-12 for metabolic engineering approaches, we identified YahK and YjgB, two medium-chain dehydrogenases/reductases subgrouped to the cinnamyl alcohol dehydrogenase family, as being important. Identification was achieved using a stepwise purification protocol starting with crude extract. For exact characterization, the genes were cloned into pET28a vector and expressed with N-terminal His tag. Substrate specificity studies revealed that a large variety of aldehydes but no ketones are converted by both enzymes. YahK and and YjgB strongly preferred NADPH as cofactor. The structure of YjgB was modeled using YahK as template for a comparison of the active center giving a first insight to the different substrate preferences. The enzyme activity for YahK, YjgB, and YqhD was determined on the basis of the temperature. YahK showed a constant increase in activity until 60 °C, whereas YjgB was most active between 37 and 50 °C. YqhD achieved the highest activity at 50 °C. Comparing YjgB and Yahk referring to the catalytic efficiency, YjgB achieved for almost all substrates higher rates (butyraldehyde 221 s⁻¹ mM⁻¹, benzaldehyde 1,305 s⁻¹ mM⁻¹). Exceptions are the two substrates glyceraldehydes (no activity for YjgB) and isobutyraldehyde (YjgB 0.26 s⁻¹ mM⁻¹) which are more efficiently converted by YahK (glyceraldehyde 2.8 s⁻¹ mM⁻¹, isobutyraldehyde 14.6 s⁻¹ mM⁻¹). YahK and even more so YjgB are good candidates for the reduction of aldehydes in metabolic engineering approaches and could replace the currently used YqhD.",Munich,DE,,False,https://openalex.org/W2011272739
62,Industrial Fermentation,paper,2012,Expanding the Product Profile of a Microbial Alkane Biosynthetic Pathway,"Microbially produced alkanes are a new class of biofuels that closely match the chemical composition of petroleum-based fuels. Alkanes can be generated from the fatty acid biosynthetic pathway by the reduction of acyl-ACPs followed by decarbonylation of the resulting aldehydes. A current limitation of this pathway is the restricted product profile, which consists of n-alkanes of 13, 15, and 17 carbons in length. To expand the product profile, we incorporated a new part, FabH2 from Bacillus subtilis, an enzyme known to have a broader specificity profile for fatty acid initiation than the native FabH of Escherichia coli. When provided with the appropriate substrate, the addition of FabH2 resulted in an altered alkane product profile in which significant levels of n-alkanes of 14 and 16 carbons in length are produced. The production of even chain length alkanes represents initial steps toward the expansion of this recently discovered microbial alkane production pathway to synthesize complex fuels. This work was conceived and performed as part of the 2011 University of Washington international Genetically Engineered Machines (iGEM) project.",Seattle,US,,True,https://openalex.org/W1978740720
62,Industrial Fermentation,paper,2013,Bacterial synthesis gas (syngas) fermentation,"Acetogenic bacteria employing the Wood-Ljungdahl pathway can be used as biocatalysts in syngas fermentation for the production ofbiofuels such as ethanol or butanol as well as biocommodities such as acetate, lactate, butyrate, 2,3 butanediol, and acetone. The potential of such processes can be projected by the global syngas output, which was 70,817 megawatts thermal in 2010 and is expected to increase up to 72% in 2016. To date, different acetogens are used as commercial production strains for industrial syngas fermentations in pilot or demonstration plants (Coskata, INEOS Bio, LanzaTech) and first commercial units are expected to launch operation in the near future (INEOS Bio, LanzaTech). Considerations on potential yields are quite promising for fermentative production. New methods for metabolic engineering were established to construct novel recombinant acetogenic biocatalysts. Synthetic biology will certainly play a major role in constructing strains for commercial operations. This way, a cheap and abundant carbon source most probably replace, processes based on crude oil or sugar in the near future.",Ulm,DE,,True,https://openalex.org/W2113128408
62,Industrial Fermentation,paper,2014,"A Set of Versatile Brick Vectors and Promoters for the Assembly, Expression, and Integration of Synthetic Operons in <i>Methylobacterium extorquens</i> AM1 and Other Alphaproteobacteria","The discipline of synthetic biology requires standardized tools and genetic elements to construct novel functionalities in microorganisms; yet, many model systems still lack such tools. Here, we describe a novel set of vectors that allows the convenient construction of synthetic operons in Methylobacterium extorquens AM1, an important alphaproteobacterial model organism for methylotrophy and a promising platform organism for methanol-based biotechnology. In addition, we provide a set of constitutive alphaproteobacterial promoters of different strengths that were characterized in detail by two approaches: on the single-cell scale and on the cell population level. Finally, we describe a straightforward strategy to deliver synthetic constructs to the genome of M. extorquens AM1 and other Alphaproteobacteria. This study defines a new standard to systematically characterize genetic parts for their use in M. extorquens AM1 by using single-cell fluorescence microscopy and opens the toolbox for synthetic biological applications in M. extorquens AM1 and other alphaproteobacterial model systems.",Zurich,CH,,False,https://openalex.org/W2334066342
62,Industrial Fermentation,paper,2016,Production of farnesene from agro-industrial waste by synthetic biology,"The cultivation of pineapple, sugar cane and coffee, mean lucrative industries in Costa Rica, however, it associated with waste generation. About 300 metric tons of stubble are generated per hectare of planted pineapple, in the case of sugar cane, the main residue is bagasse. On the other hand, in the processing of coffee, the pulp and molasses are released as waste water. The use of this wastes are imperative to generate products and services that benefit the community and parallel decrease the environmental impact while reducing production costs. An alternative for the management of these wastes, is its use for the production of farnesene, precursor in the generation of biofuels and other high-value products in the pharmaceutical and cosmetic industry [18], by using synthetic biology as a tool for transformation of model organisms such as E. coli to introduce selected geneblocks, are capable of processing these wastes and generate farnesene or their precursors that may subsequently be used for generation biofuel or other.",Cartago,CR,,True,https://openalex.org/W2621722182
62,Industrial Fermentation,paper,2016,Utilising Synthetic Biology to Produce Renewable Energy from Indonesia’s Biodiversity: Inspiration from iGEM Competition,"The emerging field of synthetic biology focuses on engineering biomolecular systems and cellular capabilities. It can be applied to a wide variety of applications, one of them is renewable energy production. Teams competing in the International Genetically Engineered Machine (iGEM) competition design and assemble biological devices able to do certain purposes such as producing renewable energy. Their ideas can be adapted by using compatible organisms available from Indonesia’s rich biodiversity. Several ideas are highlighted in this review. One of them is the idea of recycling methanol in glycogen that can be used as carbon source for biofuel production. Methanol dehydrogenase from Indonesia’s methylotrophic bacteria can substitute Bacillus methanolycus used in the system. The adapted ideas can serve as starting points for research, production, and implementation of renewable energy in Indonesia. Keywords: Biodiversity; iGEM; Indonesia; renewable energy; synthetic biology",Malang,ID,,True,https://openalex.org/W2486048276
62,Industrial Fermentation,paper,2016,Gas Fermentation—A Flexible Platform for Commercial Scale Production of Low-Carbon-Fuels and Chemicals from Waste and Renewable Feedstocks,"There is an immediate need to drastically reduce the emissions associated with global fossil fuel consumption in order to limit climate change. However, carbon-based materials, chemicals, and transportation fuels are predominantly made from fossil sources and currently there is no alternative source available to adequately displace them. Gas-fermenting microorganisms that fix carbon dioxide (CO2) and carbon monoxide (CO) can break this dependence as they are capable of converting gaseous carbon to fuels and chemicals. As such, the technology can utilize a wide range of feedstocks including gasified organic matter of any sort (e.g., municipal solid waste, industrial waste, biomass, and agricultural waste residues) or industrial off-gases (e.g., from steel mills or processing plants). Gas fermentation has matured to the point that large-scale production of ethanol from gas has been demonstrated by two companies. This review gives an overview of the gas fermentation process, focusing specifically on anaerobic acetogens. Applications of synthetic biology and coupling gas fermentation to additional processes are discussed in detail. Both of these strategies, demonstrated at bench-scale, have abundant potential to rapidly expand the commercial product spectrum of gas fermentation and further improve efficiencies and yields.",Huntsville,US,,False,https://openalex.org/W2412234405
62,Industrial Fermentation,paper,2016,Energetics and Application of Heterotrophy in Acetogenic Bacteria,"Acetogenic bacteria are a diverse group of strictly anaerobic bacteria that utilize the Wood-Ljungdahl pathway for CO2 fixation and energy conservation. These microorganisms play an important part in the global carbon cycle and are a key component of the anaerobic food web. Their most prominent metabolic feature is autotrophic growth with molecular hydrogen and carbon dioxide as the substrates. However, most members also show an outstanding metabolic flexibility for utilizing a vast variety of different substrates. In contrast to autotrophic growth, which is hardly competitive, metabolic flexibility is seen as a key ability of acetogens to compete in ecosystems and might explain the almost-ubiquitous distribution of acetogenic bacteria in anoxic environments. This review covers the latest findings with respect to the heterotrophic metabolism of acetogenic bacteria, including utilization of carbohydrates, lactate, and different alcohols, especially in the model acetogen Acetobacterium woodii Modularity of metabolism, a key concept of pathway design in synthetic biology, together with electron bifurcation, to overcome energetic barriers, appears to be the basis for the amazing substrate spectrum. At the same time, acetogens depend on only a relatively small number of enzymes to expand the substrate spectrum. We will discuss the energetic advantages of coupling CO2 reduction to fermentations that exploit otherwise-inaccessible substrates and the ecological advantages, as well as the biotechnological applications of the heterotrophic metabolism of acetogens.",Frankfurt am Main,DE,,True,https://openalex.org/W2384560189
62,Industrial Fermentation,paper,2016,Controlling Citrate Synthase Expression by CRISPR/Cas9 Genome Editing for <i>n</i>-Butanol Production in <i>Escherichia coli</i>,"Genome editing using CRISPR/Cas9 was successfully demonstrated in Esherichia coli to effectively produce n-butanol in a defined medium under microaerobic condition. The butanol synthetic pathway genes including those encoding oxygen-tolerant alcohol dehydrogenase were overexpressed in metabolically engineered E. coli, resulting in 0.82 g/L butanol production. To increase butanol production, carbon flux from acetyl-CoA to citric acid cycle should be redirected to acetoacetyl-CoA. For this purpose, the 5'-untranslated region sequence of gltA encoding citrate synthase was designed using an expression prediction program, UTR designer, and modified using the CRISPR/Cas9 genome editing method to reduce its expression level. E. coli strains with decreased citrate synthase expression produced more butanol and the citrate synthase activity was correlated with butanol production. These results demonstrate that redistributing carbon flux using genome editing is an efficient engineering tool for metabolite overproduction.",Seoul,KR,,False,https://openalex.org/W2529420003
62,Industrial Fermentation,paper,2016,Industrial Acetogenic Biocatalysts: A Comparative Metabolic and Genomic Analysis,"Synthesis gas (syngas) fermentation by anaerobic acetogenic bacteria employing the Wood-Ljungdahl pathway is a bioprocess for production of biofuels and biocommodities. The major fermentation products of the most relevant biocatalytic strains (Clostridium ljungdahlii, C. autoethanogenum, C. ragsdalei, and C. coskatii) are acetic acid and ethanol. A comparative metabolic and genomic analysis using the mentioned biocatalysts might offer targets for metabolic engineering and thus improve the production of compounds apart from ethanol. Autotrophic growth and product formation of the four wild type (WT) strains were compared in uncontrolled batch experiments. The genomes of C. ragsdalei and C. coskatii were sequenced and the genome sequences of all four biocatalytic strains analyzed in comparative manner. Growth and product spectra (acetate, ethanol, 2,3-butanediol) of C. autoethanogenum, C. ljungdahlii, and C. ragsdalei were rather similar. In contrast, C. coskatii produced significantly less ethanol and its genome sequence lacks two genes encoding aldehyde:ferredoxin oxidoreductases (AOR). Comparative genome sequence analysis of the four WT strains revealed high average nucleotide identity (ANI) of C. ljungdahlii and C. autoethanogenum (99.3%) and C. coskatii (98.3%). In contrast, C. ljungdahlii WT and C. ragsdalei WT showed an ANI-based similarity of only 95.8%. Additionally, recombinant C. ljungdahlii strains were constructed that harbor an artificial acetone synthesis operon (ASO) consisting of the following genes: adc, ctfA, ctfB, and thlA (encoding acetoacetate decarboxylase, acetoacetyl-CoA:acetate/butyrate:CoA-transferase subunits A and B, and thiolase) under the control of thlA promoter (P thlA ) from C. acetobutylicum or native pta-ack promoter (P pta-ack ) from C. ljungdahlii. Respective recombinant strains produced 2-propanol rather than acetone, due to the presence of a NADPH-dependent primary-secondary alcohol dehydrogenase that converts acetone to 2-propanol. Furthermore, the ClosTron(TM) system was used to construct an adhE1 integration mutant. These results provide extensive insights into genetic features of industrially relevant bacterial biocatalysts and expand the toolbox for metabolic engineering of acetogenic bacteria able to ferment syngas.",Ulm,DE,,True,https://openalex.org/W2463416766
62,Industrial Fermentation,paper,2017,Part by Part: Synthetic Biology Parts Used in Solventogenic Clostridia,"The solventogenic Clostridia are of interest to the chemical industry because of their natural ability to produce chemicals such as butanol, acetone and ethanol from diverse feedstocks. Their use as whole cell factories presents multiple metabolic engineering targets that could lead to improved sustainability and profitability of Clostridium industrial processes. However, engineering efforts have been held back by the scarcity of genetic and synthetic biology tools. Over the past decade, genetic tools to enable transformation and chromosomal modifications have been developed, but the lack of a broad palette of synthetic biology parts remains one of the last obstacles to the rapid engineered improvement of these species for bioproduction. We have systematically reviewed existing parts that have been used in the modification of solventogenic Clostridia, revealing a narrow range of empirically chosen and nonengineered parts that are in current use. The analysis uncovers elements, such as promoters, transcriptional terminators and ribosome binding sites where increased fundamental knowledge is needed for their reliable use in different applications. Together, the review provides the most comprehensive list of parts used and also presents areas where an improved toolbox is needed for full exploitation of these industrially important bacteria.",York,GB,,False,https://openalex.org/W2770906202
62,Industrial Fermentation,paper,2017,"Metabolic engineering strategies for acetoin and 2,3-butanediol production: advances and prospects","Acetoin and 2,3-butanediol (2,3-BD) have a large number of industrial applications. The production of acetoin and 2,3-BD has traditionally relied on oil supplies. Microbial production of acetoin and 2,3-BD will alleviate the dependence on oil. Acetoin and 2,3-BD are neighboring metabolites in the 2,3-BD metabolic pathway of bacteria. This review summarizes metabolic engineering strategies for improvement of microbial acetoin and 2,3-BD production. We also propose enhancements to current acetoin and 2,3-BD production strategies, by offering a metabolic engineering approach that is guided by systems biology and synthetic biology.",Wuxi,CN,,False,https://openalex.org/W2605712730
62,Industrial Fermentation,paper,2017,Genome Editing in Clostridium saccharoperbutylacetonicum N1-4 with the CRISPR-Cas9 System,"<i>Clostridium saccharoperbutylacetonicum</i> N1-4 is well known as a hyper-butanol-producing strain. However, the lack of genetic engineering tools hinders further elucidation of its solvent production mechanism and development of more robust strains. In this study, we set out to develop an efficient genome engineering system for this microorganism based on the clustered regularly interspaced short palindromic repeats (CRISPR) and CRISPR-associated 9 (CRISPR-Cas9) system. First, the functionality of the CRISPR-Cas9 system previously customized for <i>Clostridium beijerinckii</i> was evaluated in <i>C. saccharoperbutylacetonicum</i> by targeting <i>pta</i> and <i>buk</i>, two essential genes for acetate and butyrate production, respectively. <i>pta</i> and <i>buk</i> single and double deletion mutants were successfully obtained based on this system. However, the genome engineering efficiency was rather low (the mutation rate is <20%). Therefore, the efficiency was further optimized by evaluating various promoters for guide RNA (gRNA) expression. With promoter P <sub><i>J23119</i></sub> , we achieved a mutation rate of 75% for <i>pta</i> deletion without serial subculturing as suggested previously for <i>C. beijerinckii</i> Thus, this developed CRISPR-Cas9 system is highly desirable for efficient genome editing in <i>C. saccharoperbutylacetonicum</i> Batch fermentation results revealed that both the acid and solvent production profiles were altered due to the disruption of acid production pathways; however, neither acetate nor butyrate production was eliminated with the deletion of the corresponding gene. The butanol production, yield, and selectivity were improved in mutants, depending on the fermentation medium. In the <i>pta buk</i> double deletion mutant, the butanol production in P2 medium reached 19.0 g/liter, which is one of the highest levels ever reported from batch fermentations.<b>IMPORTANCE</b> An efficient CRISPR-Cas9 genome engineering system was developed for <i>C. saccharoperbutylacetonicum</i> N1-4. This paves the way for elucidating the solvent production mechanism in this hyper-butanol-producing microorganism and developing strains with desirable butanol-producing features. This tool can be easily adapted for use in closely related microorganisms. As also reported by others, here we demonstrated with solid data that the highly efficient expression of gRNA is the key factor determining the efficiency of CRISPR-Cas9 for genome editing. The protocol developed in this study can provide essential references for other researchers who work in the areas of metabolic engineering and synthetic biology. The developed mutants can be used as excellent starting strains for development of more robust ones for desirable solvent production.",Auburn,US,,False,https://openalex.org/W2591715427
62,Industrial Fermentation,paper,2017,Fermentation of lactose to ethanol in cheese whey permeate and concentrated permeate by engineered Escherichia coli,"Whey permeate is a lactose-rich effluent remaining after protein extraction from milk-resulting cheese whey, an abundant dairy waste. The lactose to ethanol fermentation can complete whey valorization chain by decreasing dairy waste polluting potential, due to its nutritional load, and producing a biofuel from renewable source at the same time. Wild type and engineered microorganisms have been proposed as fermentation biocatalysts. However, they present different drawbacks (e.g., nutritional supplements requirement, high transcriptional demand of recombinant genes, precise oxygen level, and substrate inhibition) which limit the industrial attractiveness of such conversion process. In this work, we aim to engineer a new bacterial biocatalyst, specific for dairy waste fermentation. We metabolically engineered eight Escherichia coli strains via a new expression plasmid with the pyruvate-to-ethanol conversion genes, and we carried out the selection of the best strain among the candidates, in terms of growth in permeate, lactose consumption and ethanol formation. We finally showed that the selected engineered microbe (W strain) is able to efficiently ferment permeate and concentrated permeate, without nutritional supplements, in pH-controlled bioreactor. In the conditions tested in this work, the selected biocatalyst could complete the fermentation of permeate and concentrated permeate in about 50 and 85 h on average, producing up to 17 and 40 g/l of ethanol, respectively. To our knowledge, this is the first report showing efficient ethanol production from the lactose contained in whey permeate with engineered E. coli. The selected strain is amenable to further metabolic optimization and represents an advance towards efficient biofuel production from industrial waste stream. The online version of this article (doi:10.1186/s12896-017-0369-y) contains supplementary material, which is available to authorized users.",Pavia,IT,,True,https://openalex.org/W2620591140
62,Industrial Fermentation,paper,2018,Recent Developments of the Synthetic Biology Toolkit for Clostridium,"The <i>Clostridium</i> genus is a large, diverse group consisting of Gram-positive, spore-forming, obligate anaerobic firmicutes. Among this group are historically notorious pathogens as well as several industrially relevant species with the ability to produce chemical commodities, particularly biofuels, from renewable biomass. Additionally, other species are studied for their potential use as therapeutics. Although metabolic engineering and synthetic biology have been instrumental in improving product tolerance, titer, yields, and feed stock consumption capabilities in several organisms, low transformation efficiencies and lack of synthetic biology tools and genetic parts make metabolic engineering within the <i>Clostridium</i> genus difficult. Progress has recently been made to overcome challenges associated with engineering various <i>Clostridium</i> spp. For example, developments in CRISPR tools in multiple species and strains allow greater capability to produce edits with greater precision, faster, and with higher efficiencies. In this mini-review, we will highlight these recent advances and compare them to established methods for genetic engineering in <i>Clostridium</i>. In addition, we discuss the current state and development of <i>Clostridium</i>-based promoters (constitutive and inducible) and reporters. Future progress in this area will enable more rapid development of strain engineering, which would allow for the industrial exploitation of <i>Clostridium</i> for several applications including bioproduction of several commodity products.",New Orleans,US,,True,https://openalex.org/W2793258243
