pmcid,pmid,doi,title,abstract,year,journal,authors,matched_parts,retrieval_reason
PMC5389031,25633131,10.1038/srep08132,"Synechococcus elongatus UTEX 2973, a fast growing cyanobacterial chassis for biosynthesis using light and CO2","Photosynthetic microbes are of emerging interest as production organisms in biotechnology because they can grow autotrophically using sunlight, an abundant energy source, and CO2, a greenhouse gas. Important traits for such microbes are fast growth and amenability to genetic manipulation. Here we describe Synechococcus
elongatus UTEX 2973, a unicellular cyanobacterium capable of rapid autotrophic growth, comparable to heterotrophic industrial hosts such as yeast. Synechococcus UTEX 2973 can be readily transformed for facile generation of desired knockout and knock-in mutations. Genome sequencing coupled with global proteomics studies revealed that Synechococcus UTEX 2973 is a close relative of the widely studied cyanobacterium Synechococcus
elongatus PCC 7942, an organism that grows more than two times slower. A small number of nucleotide changes are the only significant differences between the genomes of these two cyanobacterial strains. Thus, our study has unraveled genetic determinants necessary for rapid growth of cyanobacterial strains of significant industrial potential.",2015,Scientific Reports,"Yu J., Liberton M., Cliften P., Head R., Jacobs J., Smith R., Koppenaal D., Brand J., Pakrasi H.",BBa_P1010,biobrick_fulltext_search
PMC4765996,26514081,10.1021/acschembio.5b00779,Detection and Quantification of Ribosome Inhibition by Aminoglycoside Antibiotics in Living Bacteria Using an Orthogonal Ribosome-Controlled Fluorescent Reporter,"The ribosome is the quintessential antibacterial drug target, with many structurally and mechanistically distinct classes of antibacterial agents acting by inhibiting ribosome function. Detecting and quantifying ribosome inhibition by small molecules and investigating their binding modes and mechanisms of action are critical to antibacterial drug discovery and development efforts. To develop a ribosome inhibition assay that is operationally simple, yet provides direct infonnation on drug target and mechanism of action, we have developed engineered E. coli strains harboring an orthogonal ribosome-controlled green fluorescent protein (GFP) reporter that produce fluorescent signal when the orthogonal ribosome is inhibited. As a proof of concept, we demonstrate that these strains, when co-expressing homogenous populations of aminoglycoside resistant ribosomes, act as sensitive and quantitative detectors of ribosome inhibition by a set of twelve structurally diverse aminoglycoside antibiotics. We suggest that this strategy can be extended to quantifying ribosome inhibition by other drug classes. ",2015,ACS chemical biology,"Huang S., Zhu X., Melançon C.",BBa_J23100,biobrick_fulltext_search
PMC5264543,24933444,10.1021/sb400174s,Engineering Escherichia coli for light-activated cytolysis of mammalian cells,"By delivering payloads in response to specific exogenous stimuli, smart bacterial therapeutics have the potential to overcome many limitations of conventional therapies, including poor targeting specificity and dosage control in current cancer treatments. Although not yet explored as a trigger for bacterial drug delivery, light is an ideal induction mechanism because it offers fine spatiotemporal control and is easily and safely administered. Using recent advances in optogenetics, we have engineered two strains of Escherichia coli to secrete a potent mammalian cytotoxin in response to blue or red light. The tools in this study demonstrate the initial feasibility of light-activated bacterial therapeutics for applications such as tumor cytolysis, and their modular nature should enable simple substitution of other payloads of interest. ",2014,ACS synthetic biology,"Magaraci M., Veerakumar A., Qiao P., Amurthur A., Lee J., Miller J., Goulian M., Sarkar C.",BBa_K811000;BBa_K811001;BBa_K811002,biobrick_fulltext_search
PMC4718764,26641934,10.1038/nchembio.1979,“Deadman” and “Passcode” microbial kill switches for bacterial containment,"Biocontainment systems that couple environmental sensing with circuit-based control of cell viability could be used to prevent escape of genetically modified microbes into the environment. Here we present two engineered safe-guard systems: the Deadman and Passcode kill switches. The Deadman kill switch uses unbalanced reciprocal transcriptional repression to couple a specific input signal with cell survival. The Passcode kill switch uses a similar two-layered transcription design and incorporates hybrid LacI/GalR family transcription factors to provide diverse and complex environmental inputs to control circuit function. These synthetic gene circuits efficiently kill Escherichia coli and can be readily reprogrammed to change their environmental inputs, regulatory architecture and killing mechanism.",2015,Nature chemical biology,"Chan C., Lee J., Cameron D., Bashor C., Collins J.",BBa_J61048,biobrick_fulltext_search
PMC4618176,26414765,10.1038/ni.3268,The kinases Mst1 and Mst2 positively regulate phagocyte ROS induction and bactericidal activity,"Mitochondria need to be juxtaposted to phagosomes to synergistically produce ample reactive oxygen species (ROS) in phagocytes for pathogens killing. However, how phagosomes transmit signal to recruit mitochondria remains unclear. Here, we report that the kinases Mst1 and Mst2 function to control ROS production by regulating mitochondrial trafficking and mitochondrion-phagosome juxtaposition. Mst1 and Mst2 activate Rac GTPase to promote Toll-like receptor (TLR)-triggered assembly of the TRAF6-ECSIT complex that is required for mitochondrial recruitment to phagosomes. Inactive forms of Rac, including the human Rac2D57N mutant, disrupt the TRAF6-ECSIT complex by sequestering TRAF6, and severely dampen ROS production and greatly increase susceptibility to bacterial infection. These findings demonstrate the TLR-Mst1-Mst2-Rac signalling axis to be critical for effective phagosome-mitochondrion function and bactericidal activity.",2015,Nature immunology,"Geng J., Sun X., Wang P., Zhang S., Wang X., Wu H., Hong L., Xie C., Li X., Zhao H.",BBa_E0840;BBa_J23100,biobrick_fulltext_search
PMC4845913,25981485,10.1007/978-1-4939-2687-9_23,Targeted Transcriptional Repression in Bacteria Using CRISPR Interference (CRISPRi),"Clustered regularly interspersed short palindromic repeats (CRISPR) interference (CRISPRi) is a powerful technology for sequence-specifically repressing gene expression in bacterial cells. CRISPRi requires only a single protein and a custom-designed guide RNA for specific gene targeting. In Escherichia coli, CRISPRi repression efficiency is high (~300-fold), and there are no observable off-target effects. The method can be scaled up as a general strategy for the repression of many genes simultaneously using multiple designed guide RNAs. Here we provide a protocol for efficient guide RNA design, cloning, and assay of the CRISPRi system in E. coli. In principle, this protocol can be used to construct CRISPRi systems for gene repression in other species of bacteria.",2015,"Methods in molecular biology (Clifton, N.J.)","Hawkins J., Wong S., Peters J., Almeida R., Qi L.",BBa_J23119,biobrick_fulltext_search
PMC4788411,26634291,10.1093/pcp/pcv160,A Cyan Fluorescent Reporter Expressed from the Chloroplast Genome of Marchantia polymorpha,"Recently, the liverwort Marchantia polymorpha has received increasing attention as a basal plant model for multicellular studies. Its ease of handling, well-characterized plastome and proven protocols for biolistic plastid transformation qualify M. polymorpha as an attractive platform to study the evolution of chloroplasts during the transition from water to land. In addition, chloroplasts of M. polymorpha provide a convenient test-bed for the characterization of genetic elements involved in plastid gene expression due to the absence of mechanisms for RNA editing. While reporter genes have proven valuable to the qualitative and quantitative study of gene expression in chloroplasts, expression of green fluorescent protein (GFP) in chloroplasts of M. polymorpha has proven problematic. We report the design of a codon-optimized gfp varian, mturq2cp, which allowed successful expression of a cyan fluorescent protein under control of the tobacco psbA promoter from the chloroplast genome of M. polymorpha. We demonstrate the utility of mturq2cp in (i) early screening for transplastomic events following biolistic transformation of M. polymorpha spores; (ii) visualization of stromules as elements of plastid structure in Marchantia; and (iii) quantitative microscopy for the analysis of promoter activity.",2016,Plant and Cell Physiology,"Boehm C., Ueda M., Nishimura Y., Shikanai T., Haseloff J.",BBa_B0015;BBa_B0034;BBa_I712074,biobrick_fulltext_search
PMC4277749,25524097,10.1021/sb500047r,"One Primer To Rule Them All: Universal Primer That
Adds BBa_B0034 Ribosomal Binding Site to Any Coding Standard 10 BioBrick"," Here,
we present a universal, simple, efficient, and reliable way
to add small BioBrick parts to any BioBrick via PCR that is compatible
with BioBrick assembly standard 10. As a proof of principle, we have
designed a universal primer, rbs_B0034, that contains a ribosomal
binding site (RBS; BBa_B0034) and that can be used in PCR to amplify
any coding BioBrick that starts with ATG. We performed test PCRs with
rbs_B0034 on 31 different targets and found it to be 93.6% efficient.
Moreover, when supplemented with a complementary primer, addition
of RBS can be accomplished via whole plasmid site-directed mutagenesis,
thus reducing the time required for further assembly of composite
parts. The described method brings simplicity to the addition of small
parts, such as regulatory elements to existing BioBricks. The final
product of the PCR assembly is indistinguishable from the standard
or 3A BioBrick assembly.",2014,ACS Synthetic Biology,"Bryksin A., Bachman H., Cooper S., Balavijayan T., Blackstone R., Du H., Jenkins J., Haynes C., Siemer J., Fiore V.",BBa_B0034;BBa_E0020;BBa_E0030;BBa_E1010;BBa_K314202;BBa_K517002;BBa_K519010;BBa_K530000;BBa_K530025;BBa_K538000;BBa_K538004;BBa_K539119;BBa_K541505;BBa_K541506;BBa_K542010;BBa_K548000;BBa_K577006;BBa_K592100;BBa_K648028;BBa_K649001;BBa_K654058;BBa_K660004;BBa_K808001;BBa_K808003;BBa_K808010;BBa_K808013;BBa_K808025;BBa_K864100;BBa_K875009;BBa_K895004;BBa_K895006;BBa_S05060,biobrick_fulltext_search
PMC4272683,25455858,10.1016/j.chembiol.2014.10.008,Quorum-sensing crosstalk driven synthetic circuits: from unimodality to trimodality,"Widespread quorum-sensing (QS) enables bacteria to communicate and plays a critical role in controlling bacterial virulence. However, effects of promiscuous QS crosstalk and its implications for gene regulation and cell decision-making remain largely unknown. Here we systematically studied the crosstalk between LuxR/I and LasR/I systems and found that QS crosstalk can be dissected into signal crosstalk and promoter crosstalk. Further investigations using synthetic positive feedback circuits revealed that signal crosstalk significantly decreases circuit’s bistable potential while maintaining unimodality. Promoter crosstalk, however, reproducibly generates complex trimodal responses resulting from noise-induced state transitions and host-circuit interactions. A mathematical model that integrates the circuit’s nonlinearity, stochasticity, and host-circuit interactions was developed, and its predictions of conditions for trimodality were verified experimentally. Combining synthetic biology and mathematical modeling, this work sheds light on the complex behaviors emerging from QS crosstalk, which could be exploited for therapeutics and biotechnology.",2014,Chemistry & biology,"Wu F., Menn D., Wang X.",BBa_B0015;BBa_B0034;BBa_C0062;BBa_E0240;BBa_K176009;BBa_R0062,biobrick_fulltext_search
PMC4675711,26490728,10.1093/dnares/dsv024,Improving a Synechocystis-based photoautotrophic chassis through systematic genome mapping and validation of neutral sites,"The use of microorganisms as cell factories frequently requires extensive molecular manipulation. Therefore, the identification of genomic neutral sites for the stable integration of ectopic DNA is required to ensure a successful outcome. Here we describe the genome mapping and validation of five neutral sites in the chromosome of Synechocystis sp. PCC 6803, foreseeing the use of this cyanobacterium as a photoautotrophic chassis. To evaluate the neutrality of these loci, insertion/deletion mutants were produced, and to assess their functionality, a synthetic green fluorescent reporter module was introduced. The constructed integrative vectors include a BioBrick-compatible multiple cloning site insulated by transcription terminators, constituting robust cloning interfaces for synthetic biology approaches. Moreover, Synechocystis mutants (chassis) ready to receive purpose-built synthetic modules/circuits are also available. This work presents a systematic approach to map and validate chromosomal neutral sites in cyanobacteria, and that can be extended to other organisms.",2015,DNA Research: An International Journal for Rapid Publication of Reports on Genes and Genomes,"Pinto F., Pacheco C., Oliveira P., Montagud A., Landels A., Couto N., Wright P., Urchueguía J., Tamagnini P.",BBa_B0015;BBa_B0020;BBa_B0032;BBa_B0053;BBa_B0062;BBa_B020;BBa_B1006;BBa_E0040;BBa_E0240,biobrick_fulltext_search
